dataset,modo,clase,percentil,umbral_percentil,umbral_fijo,normalizado,figura
shuttle,por_clase,1,5,-0.10773147247991996,,True,shuttle_if_hist_por_clases_2025-11-01_2102.png
shuttle,por_clase,2,5,-0.44578435733772737,,True,shuttle_if_hist_por_clases_2025-11-01_2102.png
shuttle,por_clase,3,5,0.0057195215895697316,,True,shuttle_if_hist_por_clases_2025-11-01_2102.png
shuttle,por_clase,4,5,0.12540004165534344,,True,shuttle_if_hist_por_clases_2025-11-01_2102.png
shuttle,por_clase,5,5,0.13800948883402514,,True,shuttle_if_hist_por_clases_2025-11-01_2102.png
shuttle,por_clase,6,5,-0.7791573321609437,,True,shuttle_if_hist_por_clases_2025-11-01_2102.png
shuttle,por_clase,7,5,-0.9211055580577066,,True,shuttle_if_hist_por_clases_2025-11-01_2102.png
wdbc,por_clase,B,5,-0.02928533055687039,,True,wdbc_if_hist_por_clases_2025-11-01_2102.png
wdbc,por_clase,M,5,-0.26449792675741857,,True,wdbc_if_hist_por_clases_2025-11-01_2102.png
glass,por_clase,1,5,-0.8591311001256408,,True,glass_if_hist_por_clases_2025-11-01_2102.png
glass,por_clase,2,5,-0.3186191184472543,,True,glass_if_hist_por_clases_2025-11-01_2102.png
glass,por_clase,3,5,-0.9821100561454982,,True,glass_if_hist_por_clases_2025-11-01_2102.png
glass,por_clase,5,5,-0.42923323252684753,,True,glass_if_hist_por_clases_2025-11-01_2102.png
glass,por_clase,7,5,-0.8240477265451799,,True,glass_if_hist_por_clases_2025-11-01_2102.png
heart,por_clase,0,5,-0.47038870676793665,,True,heart_if_hist_por_clases_2025-11-01_2102.png
heart,por_clase,1,5,-0.7419085734182186,,True,heart_if_hist_por_clases_2025-11-01_2102.png
heart,por_clase,2,5,-0.8240890410386185,,True,heart_if_hist_por_clases_2025-11-01_2102.png
heart,por_clase,3,5,-0.5516161913608116,,True,heart_if_hist_por_clases_2025-11-01_2102.png
heart,por_clase,4,5,-0.7272391402180787,,True,heart_if_hist_por_clases_2025-11-01_2102.png
