densidad,riesgo,pureza,f1_score
25,25,proporcion,0.5976362987358791
50,25,proporcion,0.5976362987358791
75,25,proporcion,0.5976362987358791
75,50,proporcion,0.5852913800206648
50,50,proporcion,0.5852913800206648
25,50,proporcion,0.5852913800206648
50,75,proporcion,0.57267952115371
75,75,proporcion,0.57267952115371
25,75,proporcion,0.57267952115371
25,25,entropia,0.4270712873760754
75,25,entropia,0.4270712873760754
50,25,entropia,0.4270712873760754
25,50,entropia,0.4194007993580851
50,50,entropia,0.4194007993580851
75,50,entropia,0.4194007993580851
25,75,entropia,0.4148075002238651
50,75,entropia,0.4148075002238651
75,75,entropia,0.4148075002238651
